StateName,StateCode,2006,2007,2008,2009,2010,2011,2012
Alaska,AK,1.31,2.14,2.92,5.77,5.95,2.23,
Alabama,AL,5.06,2.44,1.57,2.91,4.14,3.27,
Arkansas,AR,3.15,1.47,1.89,1.57,2.22,2.67,
Arizona,AZ,1.38,1.3,1.86,2.12,1.73,1.62,
California,CA,2.01,2.09,1.89,1.79,1.89,1.92,
Colorado,CO,1.8,2.17,2.26,2.22,2.34,2.21,
Connecticut,CT,15.81,16.6,16.06,15.94,16.12,16.02,
District of Columbia,DC,3.66,4.17,4.12,3.63,4.5,6.34,
Delaware,DE,6,6.09,3.72,5.03,11.34,9.96,
Florida,FL,18.4,18.27,18.41,18.52,18.87,18.71,
Georgia,GA,5.93,6.43,6.27,6.46,6.21,5.16,
Hawaii,HI,1.71,1.57,1.76,1.33,1.46,1.83,
Iowa,IA,3.71,3.23,1.5,2.28,2.16,1.65,
Idaho,ID,2.32,2.38,2.71,2.38,2.18,3.98,
Illinois,IL,2.52,2.62,2.53,2.73,3.06,2.95,
Indiana,IN,3.25,3.75,3.76,3.55,3.39,2.79,
Kansas,KS,2.96,2.08,1.73,1.32,1.54,3.52,
Kentucky,KY,2.27,5.6,5.01,2.52,4.37,3.34,
Louisiana,LA,6.22,5.93,7.92,8.06,7.25,5.28,
Massachusetts,MA,10.31,10.55,11.46,11.01,10.96,11.17,
Maryland,MD,8.86,8.07,6.72,6.52,6.81,6.65,
Maine,ME,3.24,2.32,3.04,3.71,2.86,1.45,
Michigan,MI,1.98,1.71,1.84,2.17,1.97,2.69,
Minnesota,MN,4.77,3.32,4.61,5.16,4.53,4.4,
Missouri,MO,3.25,3.79,3.25,2.58,3.03,3.33,
Mississippi,MS,3.25,3.19,3.43,4.9,7.91,5.6,
Montana,MT,8.06,4.95,3.01,2.03,5.81,6.87,
North Carolina,NC,4.33,4.52,4.79,5.19,5.6,5.42,
North Dakota,ND,3.78,,,6.08,7.01,19,
Nebraska,NE,1.19,1.96,1.24,0.97,1.01,0.87,
New Hampshire,NH,4.01,8.68,14.98,13.53,5.98,5.71,
New Jersey,NJ,16.64,17.25,17.63,17.07,17.26,17.3,
New Mexico,NM,1.9,1.65,1.42,0.99,1.32,1.09,
Nevada,NV,2.65,2.23,1.95,2.32,2.51,2.21,
New York,NY,13.57,13.49,13.25,13.15,13.22,13.24,
Ohio,OH,4.22,3.39,4.3,4.92,4.59,3.65,
Oklahoma,OK,3.6,2.62,3.23,2.92,2.69,2.74,
Oregon,OR,2.49,1.93,2.1,1.9,1.87,1.85,
Pennsylvania,PA,5.76,6.48,6.6,6.62,6.65,8.24,
Rhode island,RI,8.6,8.6,7.69,5.84,5.57,11.86,
South Carolina,SC,6.33,7.39,8.31,7.75,5.73,7.34,
South Dakota,SD,0.18,0,0,1.62,5.9,4.07,
Tennessee,TN,4.57,3.48,3.15,3.08,3.68,3.6,
Texas,TX,2.03,2.18,2.26,2.13,2.17,2.22,
United States,US,5.89,5.91,5.87,5.82,5.92,5.92,
Utah,UT,9.93,9.1,10.98,10.73,9.26,9.58,
Virginia,VA,11.22,10.55,9.95,10.94,11.45,10.44,
Vermont,VT,4.97,6.2,3.72,2.34,4.15,9.89,
Washington,WA,1.53,1.36,1.78,2.19,2.01,1.9,
Wisconsin,WI,3.33,4.35,4.24,2.51,3.42,3.8,
West Virginia,WV,4.05,7.44,4.38,4.14,3.48,7.25,
Wyoming,WY,0,0.71,0.73,0.39,5.08,7.45,
