GROUPCODE,STATCODE,statid,statistics_label,STAT,ISSTATE,StateName,StateCode,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Alaska","AK",.1026939,.12069201,.11098214,.11590923,.11183354,.10336167,.10946081,.10020201,.1033139,.13863729,.14628907,.13369773
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Alabama","AL",.04687864,.04879859,.05465815,.06333917,.0694619,.06872062,.07047713,.06785025,.06451014,.07196412,.07940921,.08271805
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Arkansas","AR",.07467694,.08066368,.08974072,.09655104,.10044289,.10403465,.10312169,.10542794,.11591534,.11474963,.10938644,.10894674
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Arizona","AZ",.29119164,.30427665,.30805582,.3044956,.29904833,.28297123,.28064439,.28880921,.2842257,.27757615,.28109527,.28686205
"Population","Share",2,"Share","Children of Immigrants, Share",1,"California","CA",.48734084,.49073577,.49082518,.4911122,.49367386,.49258083,.49425983,.49550876,.48830354,.48711213,.48941126,.4807792
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Colorado","CO",.19823286,.19906226,.20958725,.21121949,.20900457,.209573,.21242219,.22460763,.22575654,.22210206,.22454883,.22561318
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Connecticut","CT",.19082153,.20051923,.20870255,.21664067,.22386682,.22904888,.22768369,.23293351,.23696826,.24369933,.25750569,.26473835
"Population","Share",2,"Share","Children of Immigrants, Share",1,"District of Columbia","DC",.16043933,.16730811,.19808775,.20671329,.20248406,.20746073,.22426023,.24544141,.25679258,.24015139,.22453344,.23768018
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Delaware","DE",.14299548,.14618473,.15932694,.16950397,.15704656,.15741682,.17653149,.17983229,.15691221,.1721244,.20761436,.21632616
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Florida","FL",.29778063,.301581,.29771978,.3040306,.31018522,.31075174,.31834084,.32187593,.31967756,.32611805,.33178207,.33597609
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Georgia","GA",.15103106,.15626252,.16462915,.17661007,.18354394,.18643078,.19052923,.19272101,.19939502,.20503935,.20284976,.20675258
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Hawaii","HI",.27304307,.25437912,.27203402,.27013928,.26544654,.29680738,.30809981,.29096383,.28871235,.28750709,.29526719,.30041116
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Iowa","IA",.06870098,.07247663,.07917555,.0799724,.08820367,.09388095,.08823075,.09794442,.10891561,.10188476,.10086171,.10658079
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Idaho","ID",.12011011,.12736371,.1328463,.13685,.13563675,.13269398,.13102549,.13741423,.13876231,.12876813,.12542601,.12376212
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Illinois","IL",.23192246,.24084382,.24370313,.24807259,.25092119,.25922862,.26369151,.26411018,.26248008,.26221466,.26289693,.26543969
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Indiana","IN",.06787435,.07397737,.07684549,.08311496,.08682094,.08880112,.09122575,.09282991,.09547408,.09809972,.10740294,.11375294
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Kansas","KS",.11452699,.12464085,.12475079,.12623072,.13034908,.14155805,.14928086,.14808089,.15107054,.15321296,.15803553,.15268001
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Kentucky","KY",.04095358,.03988036,.04526338,.0534454,.05872034,.06361742,.06850892,.0715719,.07067279,.07336165,.0761795,.07311841
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Louisiana","LA",.04200696,.0452191,.04932971,.051161,.05333776,.05468209,.05675664,.06006144,.0641302,.0681154,.07261416,.07267392
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Massachusetts","MA",.21820511,.22004531,.23173481,.24078973,.24806274,.25289473,.25606811,.26969221,.27493799,.27776304,.28598997,.28608736
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Maryland","MD",.18623589,.19728394,.20970854,.21926561,.23064138,.23525457,.2403321,.25044629,.26077473,.27116746,.27650666,.28175977
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Maine","ME",.05195628,.05950094,.06269669,.05813339,.05956409,.05926951,.06321935,.07060824,.06498704,.0622615,.07357299,.08064797
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Michigan","MI",.10053226,.1030964,.10272126,.10229987,.10517506,.11019272,.11822692,.12265301,.12401073,.12558445,.1279157,.13144426
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Minnesota","MN",.12841704,.1301793,.13324112,.14218485,.15112199,.15754943,.16271925,.16280873,.16758358,.18039165,.18182431,.18506171
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Missouri","MO",.06104936,.05871855,.06311534,.06776964,.06669459,.07136762,.07183522,.0705886,.07228457,.07235101,.07900684,.08135519
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Mississippi","MS",.02595001,.02457216,.02609149,.03255657,.03318603,.03489652,.03560082,.03578109,.03760362,.0399231,.04277262,.04474645
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Montana","MT",.03201967,.03198148,.03864708,.04016798,.03632588,.03617818,.03530453,.02962634,.03315622,.03901665,.03376272,.03627097
"Population","Share",2,"Share","Children of Immigrants, Share",1,"North Carolina","NC",.12285766,.13135673,.14359625,.15525641,.16290033,.16454467,.1656477,.17315488,.18055195,.18229721,.18358605,.18688866
"Population","Share",2,"Share","Children of Immigrants, Share",1,"North Dakota","ND",.04667361,.03218101,.03488792,.04911263,.04022237,.04007547,.04703271,.04652328,.0594296,.07062269,.0643597,.06260455
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Nebraska","NE",.11439884,.11431048,.12343691,.12984253,.13020648,.13147029,.1484061,.15465556,.14187406,.13671766,.1431596,.15927717
"Population","Share",2,"Share","Children of Immigrants, Share",1,"New Hampshire","NH",.09348322,.08867851,.08584397,.09607479,.1063132,.1081244,.10644716,.10802133,.10541551,.10543453,.10881029,.10933615
"Population","Share",2,"Share","Children of Immigrants, Share",1,"New Jersey","NJ",.29922745,.3141062,.31920397,.32003093,.33100843,.34339771,.35112911,.36109903,.36399025,.3672033,.37803799,.39006841
"Population","Share",2,"Share","Children of Immigrants, Share",1,"New Mexico","NM",.19213906,.20640729,.20349075,.2048618,.21317793,.21298215,.20890535,.21998043,.22312738,.21546294,.21874766,.20115511
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Nevada","NV",.33867794,.36657888,.36950558,.36016008,.36319372,.37701586,.37800911,.37448549,.37761426,.37350646,.37355533,.37214574
"Population","Share",2,"Share","Children of Immigrants, Share",1,"New York","NY",.32239062,.33068091,.33650595,.33629143,.33729196,.33859643,.34762299,.35627276,.35599953,.35977995,.36742496,.36744884
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Ohio","OH",.05103756,.05281091,.05790255,.06332439,.06755365,.06724957,.06606554,.07038449,.07244623,.07284123,.07513013,.08079786
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Oklahoma","OK",.09119433,.0967755,.10216229,.10778626,.11399102,.11709286,.11423716,.11426512,.11960206,.12971151,.13129385,.12208486
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Oregon","OR",.19200742,.19878118,.20745258,.21035752,.21873111,.22542098,.22619185,.22949444,.23170735,.22224542,.21870968,.22796306
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Pennsylvania","PA",.08259547,.08845588,.09582365,.09737541,.10005776,.10483556,.10712225,.11299644,.11739718,.11612563,.12148022,.1297895
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Rhode island","RI",.23867871,.2505765,.25606984,.23738545,.23031297,.23936349,.23933935,.24653943,.25971508,.2565476,.26048535,.26688862
"Population","Share",2,"Share","Children of Immigrants, Share",1,"South Carolina","SC",.06678832,.07394537,.0779972,.08539862,.09138559,.08894382,.09040372,.0928552,.09586813,.0981095,.10270844,.10509314
"Population","Share",2,"Share","Children of Immigrants, Share",1,"South Dakota","SD",.03666986,.03634641,.04183765,.04630091,.04812195,.05097584,.04806469,.04069794,.05253974,.06132681,.0587449,.0569186
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Tennessee","TN",.06926829,.07439041,.08411963,.08988393,.09368863,.09987958,.10074042,.10070971,.10599631,.11091605,.11649799,.12110538
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Texas","TX",.3062934,.30953294,.31497478,.32435748,.33088261,.33507591,.33711639,.33450198,.33682355,.33982745,.33914399,.34255862
"Population","Share",2,"Share","Children of Immigrants, Share",1,"United States","US",.2177444,.2219179,.22615062,.23083399,.23483552,.23749822,.24067491,.24404705,.24508993,.24707568,.25064459,.25256407
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Utah","UT",.14855599,.15933381,.16109198,.15656152,.15030079,.15963131,.16565566,.16114214,.16751952,.16793981,.16129743,.16418327
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Virginia","VA",.16503663,.16557853,.17140315,.18009453,.19325307,.20355017,.20876837,.21335346,.2168792,.2221874,.22668156,.23411614
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Vermont","VT",.03722082,.04997718,.06142749,.06166022,.06096428,.06290349,.05660794,.05777796,.06374358,.06139052,.06363414,.07550441
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Washington","WA",.22319628,.23226441,.23602848,.24248318,.2567316,.26846045,.26799607,.27556372,.27240646,.27249175,.28411633,.28837165
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Wisconsin","WI",.07591709,.08026247,.08890469,.09604886,.09822887,.09879208,.09722223,.10387498,.10470151,.10640355,.11336772,.11064747
"Population","Share",2,"Share","Children of Immigrants, Share",1,"West Virginia","WV",.02116472,.01932845,.02104848,.01992913,.0194137,.02266153,.02181838,.02656547,.02730455,.02426486,.02570512,.02635393
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Wyoming","WY",.04873941,.04908784,.04489445,.0536243,.05639508,.05778338,.06843949,.08051556,.07850193,.0755276,.07869228,.08723379
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Alaska","AK",19000,22000,20000,21000,21000,19000,20000,19000,19000,26000,27000,25000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Alabama","AL",52000,55000,61000,71000,79000,78000,79000,76000,71000,80000,88000,91000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Arkansas","AR",51000,56000,63000,68000,71000,74000,73000,75000,82000,81000,77000,77000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Arizona","AZ",463000,499000,521000,526000,503000,461000,455000,467000,460000,450000,457000,468000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"California","CA",4683000,4650000,4603000,4612000,4625000,4573000,4570000,4558000,4471000,4446000,4453000,4360000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Colorado","CO",232000,235000,251000,257000,257000,257000,261000,278000,281000,278000,283000,284000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Connecticut","CT",155000,163000,170000,175000,182000,185000,182000,184000,185000,187000,195000,197000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"District of Columbia","DC",18000,19000,22000,23000,22000,21000,24000,27000,29000,28000,27000,29000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Delaware","DE",29000,30000,33000,35000,32000,32000,36000,37000,32000,35000,42000,44000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Florida","FL",1197000,1212000,1196000,1226000,1249000,1242000,1272000,1291000,1291000,1330000,1368000,1401000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Georgia","GA",362000,389000,418000,453000,466000,464000,474000,480000,496000,512000,508000,519000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Hawaii","HI",83000,74000,77000,78000,78000,90000,93000,88000,89000,89000,91000,92000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Iowa","IA",47000,51000,56000,57000,63000,68000,64000,71000,79000,74000,73000,77000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Idaho","ID",46000,51000,55000,57000,57000,57000,56000,58000,60000,56000,54000,54000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Illinois","IL",750000,774000,778000,788000,790000,806000,811000,803000,788000,778000,772000,771000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Indiana","IN",108000,118000,122000,132000,139000,142000,145000,147000,151000,155000,169000,179000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Kansas","KS",78000,87000,87000,88000,93000,102000,108000,106000,109000,111000,113000,109000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Kentucky","KY",40000,40000,46000,54000,60000,65000,70000,73000,72000,74000,77000,74000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Louisiana","LA",47000,49000,54000,57000,60000,61000,63000,67000,71000,76000,81000,81000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Massachusetts","MA",318000,318000,332000,345000,353000,357000,359000,376000,382000,385000,395000,393000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Maryland","MD",256000,269000,283000,294000,311000,317000,323000,336000,351000,365000,372000,379000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Maine","ME",14000,17000,18000,16000,16000,16000,17000,19000,17000,16000,19000,21000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Michigan","MI",250000,254000,249000,243000,246000,255000,269000,276000,277000,278000,281000,286000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Minnesota","MN",160000,164000,168000,179000,192000,202000,208000,208000,214000,231000,233000,238000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Missouri","MO",86000,84000,89000,96000,95000,101000,101000,99000,101000,101000,110000,113000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Mississippi","MS",20000,19000,20000,25000,25000,26000,27000,27000,28000,29000,31000,32000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Montana","MT",7000,7000,9000,9000,8000,8000,8000,7000,7000,9000,8000,8000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"North Carolina","NC",264000,287000,319000,350000,371000,376000,379000,395000,413000,417000,420000,429000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"North Dakota","ND",7000,-97,-97,7000,6000,6000,7000,7000,10000,12000,11000,11000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Nebraska","NE",50000,52000,56000,59000,59000,60000,69000,72000,66000,64000,67000,75000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"New Hampshire","NH",28000,26000,25000,28000,30000,31000,29000,29000,28000,28000,28000,28000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"New Jersey","NJ",636000,651000,654000,655000,680000,704000,714000,730000,734000,736000,752000,772000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"New Mexico","NM",95000,103000,101000,104000,110000,110000,108000,112000,112000,107000,108000,98000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Nevada","NV",212000,238000,246000,244000,245000,250000,251000,248000,250000,248000,251000,253000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"New York","NY",1459000,1479000,1486000,1483000,1473000,1454000,1483000,1512000,1504000,1515000,1539000,1528000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Ohio","OH",141000,146000,159000,173000,183000,182000,176000,186000,191000,191000,196000,210000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Oklahoma","OK",79000,87000,93000,98000,106000,109000,107000,108000,113000,124000,126000,117000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Oregon","OR",163000,171000,180000,184000,190000,195000,195000,197000,199000,191000,189000,198000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Pennsylvania","PA",231000,249000,266000,269000,278000,291000,294000,307000,317000,312000,325000,346000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Rhode island","RI",58000,59000,59000,54000,52000,53000,52000,53000,55000,54000,55000,55000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"South Carolina","SC",69000,77000,83000,91000,99000,96000,98000,100000,103000,106000,112000,116000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"South Dakota","SD",7000,7000,8000,9000,10000,10000,10000,8000,11000,13000,12000,12000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Tennessee","TN",98000,108000,123000,133000,140000,149000,150000,150000,158000,166000,174000,182000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Texas","TX",1960000,2027000,2099000,2209000,2279000,2320000,2348000,2343000,2382000,2432000,2457000,2509000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"United States","US",15997000,16388000,16713000,17124000,17449000,17573000,17748000,17954000,18013000,18164000,18434000,18578000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Utah","UT",115000,128000,134000,134000,131000,140000,146000,144000,151000,153000,148000,152000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Virginia","VA",298000,301000,314000,331000,357000,377000,387000,397000,405000,415000,423000,437000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Vermont","VT",5000,7000,8000,8000,8000,8000,7000,7000,8000,7000,8000,9000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Washington","WA",337000,357000,364000,378000,405000,424000,423000,437000,435000,438000,460000,472000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Wisconsin","WI",100000,106000,117000,125000,130000,131000,128000,136000,136000,138000,146000,142000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"West Virginia","WV",8000,8000,8000,8000,7000,9000,8000,10000,10000,9000,10000,10000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Wyoming","WY",6000,6000,6000,7000,7000,8000,9000,11000,11000,10000,11000,12000
"Population","Percent",3,"Percent of Total","Percent of Children of Immigrants",1,"Alaska","AK",.00118772,.00134245,.00119667,.00122635,.00120351,.0010812,.00112689,.00105826,.00105479,.0014314,.00146468,.00134568
"Population","Percent",3,"Percent of Total","Percent of Children of Immigrants",1,"Alabama","AL",.00325061,.00335611,.00364985,.00414623,.00452748,.00443863,.00445121,.00423304,.0039416,.00440432,.00477379,.00489827
"Population","Percent",3,"Percent of Total","Percent of Children of Immigrants",1,"Arkansas","AR",.0031881,.00341713,.00376952,.00397103,.004069,.00421101,.00411314,.00417734,.00455227,.00445937,.00417706,.00414469
"Population","Percent",3,"Percent of Total","Percent of Children of Immigrants",1,"Arizona","AZ",.02894293,.03044911,.03117334,.03071712,.02882687,.02623343,.02563669,.02601092,.02553711,.02477428,.02479115,.02519109
"Population","Percent",3,"Percent of Total","Percent of Children of Immigrants",1,"California","CA",.2927424,.28374422,.27541435,.26932961,.26505816,.26022875,.25749379,.25387099,.24820963,.24476987,.2415645,.23468618
"Population","Percent",3,"Percent of Total","Percent of Children of Immigrants",1,"Colorado","CO",.01450272,.01433976,.01501825,.01500818,.01472864,.01462471,.01470588,.01548401,.01559984,.015305,.01535207,.0152869
