GROUPCODE,STATCODE,STAT,ISSTATE,MetroName,MetroCode,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015
"Population","Share","Children of Immigrants, Share",0,"Memphis, TN-MS-AR",32820,.07306997,.07402841,.0810097,.08877896,.09325895,.09482144,.10027124,.10359148,.10251879,.10736426
"Population","Share","Children of Immigrants, Share",0,"Miami-Fort Lauderdale-West Palm Beach, FL",33100,.53814071,.53773153,.53398329,.53967643,.54652971,.55005956,.55706489,.56353235,.55672359,.56166899
"Population","Share","Children of Immigrants, Share",0,"Milwaukee-Waukesha-West Allis, WI",33340,.10590543,.11518066,.12422351,.13672915,.13992248,.13155676,.13270807,.13630278,.13236493,.14277062
"Population","Share","Children of Immigrants, Share",0,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,.16244595,.16828862,.17080218,.18125439,.19633226,.20127177,.20441097,.20650059,.21168184,.22481321
"Population","Share","Children of Immigrants, Share",0,"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,.11091471,.12531334,.14352909,.15003164,.14805363,.15591234,.16039912,.1622103,.17161706,.17863199
"Population","Share","Children of Immigrants, Share",0,"New Haven-Milford, CT",35300,.16142476,.17403728,.18362039,.18684636,.20355079,.21616563,.2165778,.20990822,.21493691,.22134408
"Population","Share","Children of Immigrants, Share",0,"New Orleans-Metairie, LA",35380,.08265172,.09005523,.09395569,.096453,.10749061,.1053812,.0942819,.10508032,.12403464,.1269891
"Population","Share","Children of Immigrants, Share",0,"New York-Newark-Jersey City, NY-NJ-PA",35620,.40639773,.41860992,.42595735,.42363623,.427407,.43228921,.44264317,.4534063,.45263001,.45481491
"Population","Share","Children of Immigrants, Share",0,"North Port-Sarasota-Bradenton, FL",35840,.22328919,.23377621,.20922543,.23447834,.258425,.25126043,.26647925,.25426579,.2473534,.25716099
"Population","Share","Children of Immigrants, Share",0,"Ogden-Clearfield, UT",36260,.10981536,.11633746,.12097815,.11140129,.10682277,.1133183,.12239468,.11332739,.10806257,.1160426
"Population","Share","Children of Immigrants, Share",0,"Oklahoma City, OK",36420,.13823079,.15403798,.14475566,.13857786,.14992566,.16851249,.17007332,.15938252,.16529569,.18038319
"Population","Share","Children of Immigrants, Share",0,"Omaha-Council Bluffs, NE-IA",36540,.11134214,.1073757,.11640552,.12869345,.13693805,.13991626,.16184239,.15569139,.13089517,.1388817
"Population","Share","Children of Immigrants, Share",0,"Orlando-Kissimmee-Sanford, FL",36740,.26568627,.27571464,.27621311,.28536332,.27988183,.27309555,.29697412,.3077189,.30152929,.30861369
"Population","Share","Children of Immigrants, Share",0,"Oxnard-Thousand Oaks-Ventura, CA",37100,.42233583,.43899485,.43081573,.43489641,.46640325,.45403126,.44356808,.44550043,.45258182,.45652425
"Population","Share","Children of Immigrants, Share",0,"Palm Bay-Melbourne-Titusville, FL",37340,.13984486,.14812157,.14190184,.14353849,.14320906,.14622594,.1327945,.14733461,.16920705,.18006286
"Population","Share","Children of Immigrants, Share",0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,.12837116,.13666335,.14801416,.1521232,.15497708,.16168456,.16962026,.17771769,.17697045,.177948
"Population","Share","Children of Immigrants, Share",0,"Phoenix-Mesa-Scottsdale, AZ",38060,.31783146,.33413517,.33712417,.33289096,.32218686,.30114448,.30243871,.30979329,.30303952,.30143631
"Population","Share","Children of Immigrants, Share",0,"Pittsburgh, PA",38300,.04308322,.04021201,.04339975,.04786037,.05158156,.05020439,.05073056,.05691536,.05733188,.06145972
"Population","Share","Children of Immigrants, Share",0,"Portland-Vancouver-Hillsboro, OR-WA",38900,.23118274,.23570636,.24579789,.25905323,.26530761,.26554564,.27138945,.2832174,.28578168,.27104059
"Population","Share","Children of Immigrants, Share",0,"Providence-Warwick, RI-MA",39300,.22160767,.22683758,.22763124,.21753053,.21005549,.21294148,.22085847,.23002352,.23454057,.22360758
"Population","Share","Children of Immigrants, Share",0,"Provo-Orem, UT",39340,.1361042,.14089876,.14122534,.13684064,.12199175,.12812154,.14762905,.1441059,.1461619,.15247431
"Population","Share","Children of Immigrants, Share",0,"Raleigh, NC",39580,.17004517,.18310851,.21072902,.22649068,.23006403,.23670125,.23018694,.2231701,.22908947,.23623613
"Population","Share","Children of Immigrants, Share",0,"Richmond, VA",40060,.09863102,.09680892,.10046536,.11161838,.1253408,.13446872,.13435844,.13362221,.13913901,.14634441
"Population","Share","Children of Immigrants, Share",0,"Riverside-San Bernardino-Ontario, CA",40140,.43134677,.43425605,.44088379,.43723109,.4358018,.42346492,.42691401,.43127578,.42231786,.42473677
"Population","Share","Children of Immigrants, Share",0,"Rochester, NY",40380,.09714579,.08754419,.09153652,.09179519,.09675128,.1017043,.09736857,.10277304,.09947193,.10297243
"Population","Share","Children of Immigrants, Share",0,"Sacramento--Roseville--Arden-Arcade, CA",40900,.30896008,.32137719,.33190566,.32186911,.33248395,.35836461,.36107051,.35548368,.35463461,.35204655
"Population","Share","Children of Immigrants, Share",0,"St. Louis, MO-IL",41180,.0654266,.06169461,.06231709,.06513751,.07020243,.08196501,.08007352,.07588966,.07569911,.07211863
"Population","Share","Children of Immigrants, Share",0,"Salt Lake City, UT",41620,.20304488,.21996374,.22748847,.2304416,.22728994,.24165036,.23912443,.23321714,.24416329,.23669308
