GROUPCODE,STATCODE,STAT,ISSTATE,MetroName,MetroCode,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015
"Population","Percent","Percent of Children of Immigrants",0,"Louisville/Jefferson County, KY-IN",31140,.00100019,.00103734,.00119667,.00128475,.00143275,.00159335,.00185936,.00178233,.00155443,.00165162
"Population","Percent","Percent of Children of Immigrants",0,"Madison, WI",31540,.00075014,.00079326,.00083767,.00070077,.00080234,.0010812,.00107054,.00111396,.00105479,.00110108
"Population","Percent","Percent of Children of Immigrants",0,"McAllen-Edinburg-Mission, TX",32580,.00850159,.0087259,.00879555,.00899323,.00905496,.00916178,.00918413,.00885596,.00877144,.00847831
"Population","Percent","Percent of Children of Immigrants",0,"Memphis, TN-MS-AR",32820,.00156279,.00158653,.00167534,.00181032,.00189123,.00187788,.00197205,.00200512,.00194304,.002037
"Population","Percent","Percent of Children of Immigrants",0,"Miami-Fort Lauderdale-West Palm Beach, FL",33100,.04294555,.04063949,.03853288,.038484,.038283,.03767143,.03786342,.03798597,.03763948,.03798723
"Population","Percent","Percent of Children of Immigrants",0,"Milwaukee-Waukesha-West Allis, WI",33340,.00262549,.00274591,.00293185,.00309507,.00303742,.00284527,.00281722,.00284059,.00272026,.00291786
"Population","Percent","Percent of Children of Immigrants",0,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,.00831406,.0084208,.00837671,.00864284,.0092842,.00950322,.00957854,.00958004,.00977072,.01035014
"Population","Percent","Percent of Children of Immigrants",0,"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,.00256298,.00292897,.00341052,.00356225,.00343859,.00364195,.00371873,.00378746,.00405263,.0041841
"Population","Percent","Percent of Children of Immigrants",0,"New Haven-Milford, CT",35300,.00193786,.00207469,.00209418,.00210231,.00223509,.00233312,.00231012,.00217222,.0021651,.00220216
"Population","Percent","Percent of Children of Immigrants",0,"New Orleans-Metairie, LA",35380,.00150028,.00128143,.00125651,.00128475,.00143275,.00136573,.00135227,.00167094,.00194304,.00198194
"Population","Percent","Percent of Children of Immigrants",0,"New York-Newark-Jersey City, NY-NJ-PA",35620,.11952241,.11844032,.11691497,.11358327,.11095192,.10971376,.11082939,.11184137,.11114195,.11060339
"Population","Percent","Percent of Children of Immigrants",0,"North Port-Sarasota-Bradenton, FL",35840,.00175033,.00183061,.00161551,.00175193,.00189123,.00182098,.00191571,.00178233,.00177649,.00181678
"Population","Percent","Percent of Children of Immigrants",0,"Ogden-Clearfield, UT",36260,.00118772,.00122041,.00131634,.00122635,.00120351,.00125192,.00135227,.00122535,.00122134,.00126624
"Population","Percent","Percent of Children of Immigrants",0,"Oklahoma City, OK",36420,.00243796,.00286795,.00263268,.0024527,.00269356,.00301599,.0030426,.00289629,.00299783,.00330324
"Population","Percent","Percent of Children of Immigrants",0,"Omaha-Council Bluffs, NE-IA",36540,.00150028,.00146449,.00155568,.00169353,.0017193,.00176407,.00208474,.00200512,.00166546,.00181678
"Population","Percent","Percent of Children of Immigrants",0,"Orlando-Kissimmee-Sanford, FL",36740,.00793899,.00811569,.00807754,.00823406,.00796607,.00779605,.00839531,.00868887,.00854938,.00880863
"Population","Percent","Percent of Children of Immigrants",0,"Oxnard-Thousand Oaks-Ventura, CA",37100,.00575108,.00567488,.00538503,.00525578,.00561637,.00546293,.00524003,.00512421,.00516294,.00512002
"Population","Percent","Percent of Children of Immigrants",0,"Palm Bay-Melbourne-Titusville, FL",37340,.00093768,.00097632,.0008975,.00093436,.00085965,.00091049,.00078882,.00083547,.00099928,.00104603
