GROUPCODE,STATCODE,statid,statistics_label,STAT,ISSTATE,StateName,StateCode,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Michigan","MI",.65263021,.65927011,.68217778,.66583949,.64390773,.65576464,.6650548,.66926074,.66672033,.6864695
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Minnesota","MN",.62622416,.60183412,.60370916,.60800809,.58076644,.60696024,.65180248,.69551408,.67184287,.64577442
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Mississippi","MS",.67241335,.61658001,.56510901,.4756684,.4597804,.48893628,.51979464,.58527213,.60787189,.60102856
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Missouri","MO",.61767894,.62206978,.57531565,.5774681,.58399487,.57535291,.59319657,.61940688,.64274102,.66007847
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Montana","MT",.83365887,.90249717,.96109945,.92260182,.82161051,.81668639,.84969461,.75846332,.78392029,.88530385
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Nebraska","NE",.48233777,.49372986,.56669945,.51848185,.47841913,.54993242,.55987024,.53744113,.52467567,.56109822
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Nevada","NV",.55404937,.55525243,.52085865,.5013482,.52089238,.54119056,.54293483,.57174933,.59319258,.58502322
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"New Hampshire","NH",.71244085,.71594745,.76996171,.74142617,.72722793,.735259,.68671304,.73263848,.75281787,.72429311
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"New Jersey","NJ",.64006364,.64849257,.64503813,.63326234,.62916285,.63026696,.63136816,.63052547,.63999528,.65219253
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"New Mexico","NM",.48212168,.50163919,.50083733,.46299925,.47112724,.44945955,.48304373,.53964877,.52625966,.54710621
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"New York","NY",.63241601,.6396181,.64410532,.64587867,.63340414,.63192356,.64032513,.63491559,.64772338,.65706432
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"North Carolina","NC",.41714981,.4159407,.42142582,.43656981,.43663281,.44776776,.44879302,.43381155,.45033088,.46779653
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"North Dakota","ND",.80402768,-97,-97,.65820014,.71225411,.64591795,.53707063,.62794048,.59604114,.7520861
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Ohio","OH",.64429957,.64431638,.65558887,.65189445,.64002615,.63916385,.64637882,.66696543,.67587924,.66291493
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Oklahoma","OK",.51934266,.48918572,.49564525,.5050593,.48261246,.49854743,.5045085,.4745287,.46226427,.49255583
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Oregon","OR",.46632096,.47315073,.49074244,.48302919,.49387264,.51345724,.54362792,.56589663,.55689615,.53685462
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Pennsylvania","PA",.64497632,.64973694,.65852398,.66639525,.66011608,.6754092,.68576646,.66295683,.65661728,.67797208
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Rhode island","RI",.60129964,.60847718,.62021214,.64352465,.65738803,.66716087,.62863415,.63437897,.65916067,.6488502
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"South Carolina","SC",.52899134,.5297367,.47743991,.47965887,.4862349,.47057477,.48729339,.51605308,.52201784,.52420175
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"South Dakota","SD",.44256994,.62109184,.70575464,.72873688,.61294639,.53477508,.55042684,.61859685,.67753905,.70675904
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Tennessee","TN",.53148741,.50728959,.48840255,.4819704,.4950361,.50376374,.50500059,.50275511,.49391869,.47784454
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Texas","TX",.49202809,.48858213,.48952183,.48511299,.48158038,.4860754,.49182487,.49413505,.49634707,.50881225
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"United States","US",.55998844,.55815065,.55925727,.55811602,.55617446,.56107777,.57030773,.57854193,.58214647,.58754545
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Utah","UT",.54789859,.53409582,.53548247,.55125141,.53285104,.50306928,.53752381,.57131273,.58751708,.57473534
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Vermont","VT",.78433543,.81112546,.78212219,.73121625,.74936259,.82147944,.80688822,.74330765,.71362221,.72259206
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Virginia","VA",.60158807,.60586399,.62956178,.63410443,.63310063,.62058794,.62757283,.64884609,.6250003,.6242857
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Washington","WA",.55640566,.55861342,.56434631,.57574326,.57128036,.56954169,.58422065,.59510678,.59002215,.59562612
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"West Virginia","WV",.72925043,.74601495,.70014787,.71784586,.72016573,.71230215,.78047913,.63171834,.53523415,.70882446
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Wisconsin","WI",.57505214,.58286893,.61677545,.61158067,.58817452,.59756285,.58305043,.55529153,.57112354,.60163558
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Wyoming","WY",.64295787,.6322903,.62914371,.62101448,.56652218,.43508235,.5314489,.67535037,.61175609,.45852467
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Alabama","AL",.28912276,.33363503,.33798811,.37373221,.36715502,.34316301,.3857334,.40953493,.42540616,.39819303
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Alaska","AK",.08552354,.11557917,.11021191,.08428663,.12362519,.11651084,.09077082,.1543809,.1492244,.16095877
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Arizona","AZ",.35232204,.3777332,.40055385,.40999642,.39403179,.39405125,.39278501,.38913035,.3861205,.3635433
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Arkansas","AR",.37835366,.40907025,.38067549,.40757644,.41411382,.3707625,.38473818,.40346846,.44248414,.44804117
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"California","CA",.34371662,.35530034,.35832354,.35988948,.35789603,.35897523,.35939446,.35224637,.34990299,.35001692
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Colorado","CO",.31158713,.33153564,.36725867,.379859,.38524538,.38427889,.35870215,.34201771,.37223321,.37649032
