GROUPCODE,STATCODE,STAT,ISSTATE,MetroName,MetroCode,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Boise City, ID",14260,.5804012,.6043962,.5811057,.5180223,.484923,.459091,.5202379,.5559261,.52185464
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Boston-Cambridge-Newton, MA-NH",14460,.6195886,.6382875,.6338345,.6460461,.6474659,.6692699,.6828769,.6586143,.65583444
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Bridgeport-Stamford-Norwalk, CT",14860,.6270831,.6211461,.6155586,.5567688,.5955493,.6286468,.606562,.6241467,.60312963
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Buffalo-Cheektowaga-Niagara Falls, NY",15380,.6907404,.6649613,.7095973,.7036878,.6925966,.692427,.6985696,.6823151,.64219856
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Cape Coral-Fort Myers, FL",15980,.4456578,.5065035,.5108286,.5104716,.4720984,.5061421,.57,.5892722,.54766095
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Charleston-North Charleston, SC",16700,.5565533,.6454949,.5598291,.4709167,.4627298,.4943175,.5482643,.5234748,.54917157
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Charlotte-Concord-Gastonia, NC-SC",16740,.4141321,.4193698,.4318547,.4635858,.4573038,.4490192,.4618338,.4608553,.47849455
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Chattanooga, TN-GA",16860,.6084107,.6164828,.5601702,.4698819,.4180739,.4668565,.4635654,.4027648,.54497284
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Chicago-Naperville-Elgin, IL-IN-WI",16980,.565574,.5661982,.5726627,.5616117,.5430806,.5547696,.5682943,.5659503,.58294338
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Cincinnati, OH-KY-IN",17140,.6419808,.6112162,.6310557,.5402853,.5024827,.5412127,.5832034,.5717474,.56890219
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Cleveland-Elyria, OH",17460,.6998034,.6733554,.6641452,.7102097,.726307,.6964424,.6902629,.7311894,.7813161
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Colorado Springs, CO",17820,.6968391,.6535977,.6348605,.6510576,.6747368,.6432028,.5834656,.6054232,.6087923
