GROUPCODE,STATCODE,STAT,ISSTATE,MetroName,MetroCode,y2009,y2010,y2011
Education,age0_3,Age 0 to 3,0,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,0.22355729,0.22791409,0.23281405
Education,age0_3,Age 0 to 3,0,"Modesto, CA",33700,0.40674618,0.37092553,0.32576957
Education,age0_3,Age 0 to 3,0,"Nashville-Davidson-Murfreesboro-Franklin, TN",34980,0.19607393,0.18533866,0.16978206
Education,age0_3,Age 0 to 3,0,"New Haven-Milford, CT",35300,0.24187978,0.22726806,0.25049141
Education,age0_3,Age 0 to 3,0,"New Orleans-Metairie-Kenner, LA",35380,0.11512687,0.11794041,0.10599119
Education,age0_3,Age 0 to 3,0,"New York-Northern New Jersey-Long Island, NY-NJ-PA",35620,0.44715581,0.44538571,0.44006441
Education,age0_3,Age 0 to 3,0,"Oklahoma City, OK",36420,0.16043443,0.15936528,0.18153801
Education,age0_3,Age 0 to 3,0,"Omaha-Council Bluffs, NE-IA",36540,0.14909777,0.17792923,0.16615607
Education,age0_3,Age 0 to 3,0,"Orlando-Kissimmee, FL",36740,0.28182638,0.27733795,0.26871575
Education,age0_3,Age 0 to 3,0,"Oxnard-Thousand Oaks-Ventura, CA",37100,0.46125548,0.46119307,0.4371666
Education,age0_3,Age 0 to 3,0,"Palm Bay-Melbourne-Titusville, FL",37340,0.14752846,0.15163236,0.12906883
Education,age0_3,Age 0 to 3,0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,0.17723748,0.18480676,0.1777968
Education,age0_3,Age 0 to 3,0,"Phoenix-Mesa-Scottsdale, AZ",38060,0.35144763,0.31717297,0.28892901
Education,age0_3,Age 0 to 3,0,"Pittsburgh, PA",38300,0.05979656,0.06371061,0.06957348
Education,age0_3,Age 0 to 3,0,"Portland-South Portland-Biddeford, ME",38860,0.07366349,0.09928375,0.11237596
Education,age0_3,Age 0 to 3,0,"Portland-Vancouver-Beaverton, OR-WA",38900,0.2819113,0.2713503,0.27250437
Education,age0_3,Age 0 to 3,0,"Poughkeepsie-Newburgh-Middletown, NY",39100,0.23256121,0.25107133,0.24728967
Education,age0_3,Age 0 to 3,0,"Providence-New Bedford-Fall River, RI-MA",39300,0.21719509,0.16770247,0.17641191
Education,age0_3,Age 0 to 3,0,"Raleigh-Cary, NC",39580,0.28285498,0.28929856,0.27501159
Education,age0_3,Age 0 to 3,0,"Richmond, VA",40060,0.15101387,0.15876607,0.16901496
Education,age0_3,Age 0 to 3,0,"Riverside-San Bernardino-Ontario, CA",40140,0.41919464,0.39970067,0.37952004
Education,age0_3,Age 0 to 3,0,"Rochester, NY",40380,0.11219039,0.12335664,0.11393368
Education,age0_3,Age 0 to 3,0,"Sacramento-Arden-Arcade-Roseville, CA",40900,0.33684605,0.33639712,0.35816244
Education,age0_3,Age 0 to 3,0,"St. Louis, MO-IL",41180,0.08053228,0.0834159,0.08531875
Education,age0_3,Age 0 to 3,0,"Salt Lake City, UT",41620,0.23035854,0.21445764,0.22396376
Education,age0_3,Age 0 to 3,0,"San Antonio, TX",41700,0.20405011,0.19945275,0.20683547
Education,age0_3,Age 0 to 3,0,"San Diego-Carlsbad-San Marcos, CA",41740,0.39987792,0.40420375,0.40972574
Education,age0_3,Age 0 to 3,0,"San Francisco-Oakland-Fremont, CA",41860,0.49403679,0.50344815,0.50151949
Education,age0_3,Age 0 to 3,0,"San Jose-Sunnyvale-Santa Clara, CA",41940,0.62668574,0.61328144,0.61620336
Education,age0_3,Age 0 to 3,0,"Santa Rosa-Petaluma, CA",42220,0.36679545,0.38683377,0.41269288
Education,age0_3,Age 0 to 3,0,"Scranton-Wilkes-Barre, PA",42540,0.07436787,0.0972163,0.10740351
Education,age0_3,Age 0 to 3,0,"Seattle-Tacoma-Bellevue, WA",42660,0.29724322,0.3183252,0.32462986
Education,age0_3,Age 0 to 3,0,"Springfield, MA",44140,0.15455618,0.14197403,0.16745592
Education,age0_3,Age 0 to 3,0,"Stockton, CA",44700,0.41779663,0.42977665,0.44658647
Education,age0_3,Age 0 to 3,0,"Syracuse, NY",45060,0.07140849,0.0878336,0.1083955
Education,age0_3,Age 0 to 3,0,"Tampa-St. Petersburg-Clearwater, FL",45300,0.22322517,0.20336736,0.21672604
Education,age0_3,Age 0 to 3,0,"Toledo, OH",45780,0.04814314,0.05806598,0.05957145
Education,age0_3,Age 0 to 3,0,"Tucson, AZ",46060,0.23152598,0.25176717,0.23308604
Education,age0_3,Age 0 to 3,0,"Tulsa, OK",46140,0.13168686,0.15033273,0.14079766
Education,age0_3,Age 0 to 3,0,"Virginia Beach-Norfolk-Newport News, VA-NC",47260,0.08840599,0.10179362,0.11171738
Education,age0_3,Age 0 to 3,0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,0.39614502,0.39827687,0.40019721
Education,age0_3,Age 0 to 3,0,"Wichita, KS",48620,0.12811659,0.15262903,0.18590986
Education,age0_3,Age 0 to 3,0,"Worcester, MA",49340,0.20022405,0.20765852,0.24414261
Education,age0_3,Age 0 to 3,0,"Youngstown-Warren-Boardman, OH-PA",49660,0.01243526,0.02633404,0.03418416
