GROUPCODE,STATCODE,STAT,ISSTATE,MetroName,MetroCode,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
"Education","NIS617","Who are not in school, age 6 to 17",0,"Colorado Springs, CO",17820,.02246119,.01346358,.0147897,.0180059,.00906055,.01086796,.01025058,.03057482
"Education","NIS617","Who are not in school, age 6 to 17",0,"Columbia, SC",17900,.04281577,.03086782,.01985236,.02472132,.01369506,.00958318,.02924778,.02828492
"Education","NIS617","Who are not in school, age 6 to 17",0,"Columbus, OH",18140,.01256237,.01002531,.01436639,.01578342,.02005455,.02467727,.0176229,.01363419
"Education","NIS617","Who are not in school, age 6 to 17",0,"Dallas-Fort Worth-Arlington, TX",19100,.02691186,.02445482,.02207926,.01969792,.01790254,.01696611,.01939598,.01737248
"Education","NIS617","Who are not in school, age 6 to 17",0,"Dayton, OH",19380,.07407308,.01614317,.02079035,.02143979,.0207691,.01815401,.00382662,0
"Education","NIS617","Who are not in school, age 6 to 17",0,"Deltona-Daytona Beach-Ormond Beach, FL",19660,.00952926,.02735631,.03888116,.0299583,.02684696,.01715386,.03079489,.03438676
"Education","NIS617","Who are not in school, age 6 to 17",0,"Denver-Aurora-Lakewood, CO",19740,.04600212,.05183822,.04487126,.02943854,.02585716,.01753055,.01512031,.02728743
"Education","NIS617","Who are not in school, age 6 to 17",0,"Des Moines-West Des Moines, IA",19780,0,.00566134,.02185219,.01806486,.00930522,.01119629,.03123432,.026999
"Education","NIS617","Who are not in school, age 6 to 17",0,"Detroit-Warren-Dearborn, MI",19820,.01978655,.01576248,.01571193,.01322354,.02019423,.01939473,.01293085,.02024459
"Education","NIS617","Who are not in school, age 6 to 17",0,"El Paso, TX",21340,.00861251,.00740601,.01172076,.02051168,.01787827,.01829719,.02059088,.01956143
"Education","NIS617","Who are not in school, age 6 to 17",0,"Fresno, CA",23420,.01343204,.01321708,.02281614,.02566819,.02304924,.02448422,.01863035,.0196321
