GROUPCODE,STATCODE,STAT,ISSTATE,MetroName,MetroCode,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
"Education","NIS617","Who are not in school, age 6 to 17",0,"Grand Rapids-Wyoming, MI",24340,.006403,.00401316,.01116095,.03347849,.04423711,.02363793,.01424418,.01603924
"Education","NIS617","Who are not in school, age 6 to 17",0,"Greensboro-High Point, NC",24660,.02223163,.04144018,.07791793,.07748175,.02917923,.01354691,.02421519,.03227442
"Education","NIS617","Who are not in school, age 6 to 17",0,"Greenville-Anderson-Mauldin, SC",24860,.02872558,.02352938,.09522592,.07055709,.05403681,.06947641,.03133157,.02067135
"Education","NIS617","Who are not in school, age 6 to 17",0,"Harrisburg-Carlisle, PA",25420,0,0,0,0,0,0,.01332866,.04166436
"Education","NIS617","Who are not in school, age 6 to 17",0,"Hartford-West Hartford-East Hartford, CT",25540,.01416626,.01519553,.01650418,.02631379,.02211244,.0109997,.01269398,.01404651
"Education","NIS617","Who are not in school, age 6 to 17",0,"Houston-The Woodlands-Sugar Land, TX",26420,.01820214,.01557514,.0181425,.02109782,.0205203,.02267824,.01875162,.01530088
"Education","NIS617","Who are not in school, age 6 to 17",0,"Indianapolis-Carmel-Anderson, IN",26900,.02149441,.02157574,.02438718,.02152348,.02149294,.01585477,.02110686,.03015824
"Education","NIS617","Who are not in school, age 6 to 17",0,"Jackson, MS",27140,.06481941,-97,-97,.02582528,.07991032,-97,-97,.00907483
"Education","NIS617","Who are not in school, age 6 to 17",0,"Jacksonville, FL",27260,.00859984,.01581658,.01751147,.01675878,.01634065,.00730654,.0141943,.02532517
"Education","NIS617","Who are not in school, age 6 to 17",0,"Kansas City, MO-KS",28140,.05554882,.04085492,.01503265,.01243836,.03229814,.03481741,.0246358,.01981211
"Education","NIS617","Who are not in school, age 6 to 17",0,"Knoxville, TN",28940,.0028325,.02761041,.03189468,.00765416,.00167534,.03695149,.08466302,.06713321
