GROUPCODE,STATCODE,statid,statistics_label,STAT,ISSTATE,StateName,StateCode,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Georgia","GA",.4906137,.4850355,.4701709,.4618074,.474613,.5141556,.520887,.5024384,.50671434
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Hawaii","HI",.7509029,.7489763,.7459067,.7451331,.73279,.7221293,.7376532,.7398487,.74167991
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Idaho","ID",.5683287,.5745783,.5631304,.5252154,.4921858,.4323515,.4576998,.5056877,.52195889
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Illinois","IL",.5635843,.5658842,.5709459,.5575051,.5409192,.5529093,.5689538,.5709667,.58839118
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Indiana","IN",.5290046,.5111978,.5099021,.5283568,.5066018,.4679391,.5027051,.5110641,.49311545
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Iowa","IA",.4946335,.5262909,.5062813,.5111734,.5570792,.554534,.5238875,.5326872,.57539755
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Kansas","KS",.5744823,.5463271,.5352275,.5153899,.4601129,.4756941,.502855,.508,.54716694
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Kentucky","KY",.5489643,.5066311,.5312979,.5152808,.4841223,.513984,.4877809,.49398,.51939797
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Louisiana","LA",.7353164,.6543278,.6476316,.6209188,.6064841,.6094996,.6029862,.6104894,.61655551
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Maine","ME",.7008556,.7146778,.7444508,.6402318,.5568575,.6787208,.7819961,.7546644,.72266555
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Maryland","MD",.6110879,.5951084,.5959716,.5970517,.5856278,.5805334,.5844954,.6029228,.62018603
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Massachusetts","MA",.6170258,.6388156,.6394389,.6390201,.642657,.6711679,.6824043,.6638622,.66375339
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Michigan","MI",.6466488,.6499532,.6721277,.6627266,.6394531,.6470562,.655885,.6603158,.65705138
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Minnesota","MN",.6113636,.5964866,.6012999,.6016778,.565653,.5909725,.643706,.6870199,.6545046
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Mississippi","MS",.6641712,.6085286,.5602528,.4617355,.4438083,.4863083,.4870166,.5195891,.57498848
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Missouri","MO",.6113028,.6102288,.5540708,.5549198,.5736027,.568526,.5887558,.6141849,.63256079
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Montana","MT",.8336589,.9115772,.9688075,.9207678,.8175637,.7940437,.8274852,.7927169,.81843865
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Nebraska","NE",.4777118,.4866422,.555584,.5004339,.4623971,.5387294,.5431527,.5227586,.51760364
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Nevada","NV",.5356517,.5350574,.5020159,.4835141,.5088306,.5286419,.5297354,.5579991,.57685292
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"New Hampshire","NH",.6970922,.6973014,.7448325,.7201459,.7180639,.7136073,.6426025,.6894351,.73425668
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"New Jersey","NJ",.6310028,.6419224,.6425683,.629741,.621931,.624513,.6276569,.6242802,.63197422
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"New Mexico","NM",.4577233,.4738892,.4762539,.4457763,.4557315,.4384132,.4656645,.5211629,.52236545
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"New York","NY",.6246444,.6315972,.6364438,.6391557,.6285449,.62594,.6356925,.6336475,.64434487
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"North Carolina","NC",.4083683,.4023049,.4094265,.4251286,.4288168,.4463277,.4425348,.4196829,.43673012
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"North Dakota","ND",.8001962,-97,-97,.654238,.7122541,.645918,.5097573,.5956098,.58915496
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Ohio","OH",.6399209,.6381446,.6478988,.641557,.6303101,.6342498,.638763,.6531698,.66336328
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Oklahoma","OK",.5099017,.4829529,.486963,.4984822,.466273,.4846659,.495952,.4562065,.43724117
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Oregon","OR",.457485,.4633641,.4804201,.4731702,.4848582,.5050942,.5336895,.5522003,.54400539
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Pennsylvania","PA",.6367189,.6391946,.6449062,.6470768,.6427768,.6630044,.6752673,.6547233,.64991277
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Rhode island","RI",.5843051,.5960377,.6139479,.6431028,.6514223,.6480052,.6188572,.6126834,.62385833
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"South Carolina","SC",.5180531,.5203326,.4703741,.4643634,.4696124,.4430273,.4570012,.4991768,.5091114
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"South Dakota","SD",.4388791,.6275198,.7138283,.7495364,.6143841,.5233193,.4788378,.5350872,.67753905
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Tennessee","TN",.5237172,.5026343,.4821569,.4737845,.4834243,.495905,.498927,.4908365,.48623225
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Texas","TX",.4847774,.4807793,.4816543,.4756749,.4716461,.4757018,.4820929,.4845562,.48298699
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"United States","US",.5511103,.5487056,.5498824,.5486553,.5468912,.5520418,.5609716,.5682048,.57121783
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Utah","UT",.5373604,.5204647,.517234,.5290118,.5213371,.4988191,.5295315,.5669534,.58259583
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Vermont","VT",.7901379,.8042741,.770843,.7303944,.7380801,.810523,.8068882,.7433077,.71362221
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Virginia","VA",.597467,.6026394,.6190605,.6237449,.6279851,.616887,.6248102,.640303,.61506039
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Washington","WA",.5425006,.5468257,.5520431,.5613428,.5610368,.5584844,.5682912,.5801216,.58008832
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"West Virginia","WV",.7157332,.746015,.68579,.6839163,.6956666,.7087584,.7671268,.6333799,.54518121
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Wisconsin","WI",.5663218,.560209,.5973333,.6024172,.5826577,.5912629,.5699538,.5336986,.54559809
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Wyoming","WY",.6070684,.6144133,.6239935,.605613,.5325093,.3830591,.5349525,.6610669,.57897651
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Alabama","AL",.297063,.3400143,.3456223,.3940814,.3867921,.3511656,.3934167,.4122604,.43295863
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Alaska","AK",.0929831,.1218411,.1112815,.0862518,.128279,.151705,.1235773,.1571005,.15369128
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Arizona","AZ",.3702597,.3938424,.4094765,.4244215,.4154225,.4096814,.4098812,.4103371,.40282357
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Arkansas","AR",.3959109,.423297,.3843972,.4117068,.4258645,.3787067,.3983096,.4229049,.45555061
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"California","CA",.3514821,.3645534,.368454,.36966,.366383,.3683735,.370666,.3638799,.3625491
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Colorado","CO",.3260376,.3394618,.3743733,.38659,.3952757,.3894454,.3697445,.3599479,.38225606
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Connecticut","CT",.2004538,.2168396,.2448852,.2593957,.2365232,.2344742,.2337904,.2304969,.23714143
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Delaware","DE",.2903326,.3152879,.3659262,.3671856,.3069535,.3215301,.3705458,.4034828,.42373562
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"District of Columbia","DC",.4116136,.3686821,.353974,.2973482,.3205856,.3841205,.3744171,.3572542,.34212342
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Florida","FL",.2609057,.2637914,.2644169,.2572362,.2636705,.2697358,.2606634,.2405497,.23798615
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Georgia","GA",.3361973,.3536716,.3687452,.3826524,.3790403,.3615918,.3722976,.3958266,.40293804
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Hawaii","HI",.1164353,.115534,.1255588,.1350339,.1657908,.1511453,.1509972,.1699181,.15406555
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Idaho","ID",.2602979,.2830332,.2997871,.3330832,.3701476,.4452619,.4540619,.4038798,.3609969
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Illinois","IL",.3052802,.3134788,.3167509,.3404579,.3566022,.3497506,.3445671,.3465019,.33696839
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Indiana","IN",.2907012,.3262524,.3482735,.3398904,.3411716,.3740223,.3617303,.3657479,.37928322
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Iowa","IA",.3348625,.2912935,.3089822,.3410739,.30062,.3005469,.3384634,.3140893,.28118202
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Kansas","KS",.271204,.3091404,.3470655,.3637155,.4052691,.398486,.3945122,.3843025,.34684891
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Kentucky","KY",.2289785,.2889283,.2710858,.3216354,.3442846,.314014,.3432629,.3392236,.31666642
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Louisiana","LA",.1602466,.1873854,.2131474,.2515096,.2566035,.2602725,.2888739,.289026,.28483337
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Maine","ME",.1100355,.1522044,.1173215,.1545778,.2088616,.1656575,.1213697,.1265456,.11482
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Maryland","MD",.2298855,.2523538,.2629165,.2743781,.2782382,.277508,.2898023,.2855567,.26697853
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Massachusetts","MA",.2412232,.235365,.2336363,.2395882,.2452521,.2284466,.2113796,.2239298,.22970927
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Michigan","MI",.1951994,.2130579,.1958387,.2015586,.222247,.2329334,.2350691,.2263896,.21614768
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Minnesota","MN",.2361673,.2508511,.250498,.2610537,.2997453,.294186,.248766,.2117968,.24533996
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Mississippi","MS",.1995801,.2348612,.2895266,.3922034,.380872,.3372234,.3882464,.3809542,.32273689
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Missouri","MO",.1980561,.2286631,.2716789,.2854468,.2857364,.2945024,.2743624,.2562118,.27425763
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Montana","MT",.0832457,.0491002,.0126379,.0555366,.1242295,.1093277,.0708436,.1076568,.0858736
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Nebraska","NE",.3664593,.3616828,.2888394,.3522945,.4086308,.3484261,.3228099,.3484104,.36439642
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Nevada","NV",.330752,.3243258,.3504084,.384603,.3814539,.3710677,.3773376,.3577507,.34906343
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"New Hampshire","NH",.1767971,.2011814,.1850168,.2035104,.2031158,.2221171,.2391848,.202306,.18504155
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"New Jersey","NJ",.2430655,.236669,.2389517,.2456362,.257089,.264277,.2683213,.2690903,.2687867
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"New Mexico","NM",.3683928,.3740745,.3857387,.4063306,.4079399,.4304845,.4000809,.3573104,.37053117
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"New York","NY",.2622898,.2608327,.2579054,.2574104,.2685013,.2723815,.2648838,.2666374,.26005149
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"North Carolina","NC",.3940584,.4138191,.4241196,.4256237,.4230355,.420893,.4353872,.4616412,.45986494
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"North Dakota","ND",.0867301,-97,-97,.1551979,.1444265,.0732698,.1042177,.1886411,.22375026
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Ohio","OH",.1970558,.2075941,.1908281,.2110689,.221611,.2207902,.2326682,.2338177,.22554065
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Oklahoma","OK",.3399152,.3749609,.3854868,.3921012,.3975851,.3750104,.3745842,.4280557,.45371798
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Oregon","OR",.364735,.3944752,.3885725,.3979932,.3866787,.3730239,.3633413,.3506216,.36235574
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Pennsylvania","PA",.2093626,.2215672,.2217574,.222016,.2246475,.2168963,.2037664,.2165897,.23650374
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Rhode island","RI",.3115906,.2886389,.2816059,.2673633,.2637659,.2474294,.2606882,.2773702,.28586102
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"South Carolina","SC",.2958193,.315338,.366328,.3816034,.3821607,.4107783,.4106811,.3867396,.39429036
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"South Dakota","SD",.1634304,.2015081,.1458564,.1625395,.2311845,.2443497,.3239393,.2517951,.16285676
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Tennessee","TN",.279165,.3389505,.3734969,.3798508,.3668135,.3498722,.357469,.387593,.39420334
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Texas","TX",.363106,.3778679,.3878841,.401372,.407214,.4065019,.409754,.4133936,.41696903
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"United States","US",.3088688,.3197489,.3254,.3329845,.3365725,.3362727,.3354439,.3330085,.33309588
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Utah","UT",.3220475,.3335461,.3402942,.3423013,.3521863,.3850041,.366217,.3241298,.31949824
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Vermont","VT",.1205361,.1293273,.1652893,.1471619,.1107216,.08697,.0973,.1242467,.16568047
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Virginia","VA",.2462205,.240472,.2502958,.25917,.2520516,.2680205,.2623186,.2536017,.26720661
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Washington","WA",.2820244,.2893547,.2927662,.3032512,.3154412,.3190229,.3182183,.3195314,.32381582
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"West Virginia","WV",.2132156,.1289768,.1262016,.1461073,.1767912,.1891276,.124356,.1661178,.19959563
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Wisconsin","WI",.279879,.3019926,.2863053,.2819273,.2998993,.3021959,.3294966,.3537998,.34950376
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Wyoming","WY",.2278757,.2430854,.3057089,.2910635,.2897549,.3576342,.2737064,.2475922,.32297248
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Alabama","AL",.236597,.1916309,.1711519,.1541863,.1694573,.1724892,.1367549,.1086235,.09716608
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Alaska","AK",.0860984,.0724448,.0541825,.0784151,.0724445,.0855836,.1244694,.0975718,.10995973
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Arizona","AZ",.1754909,.1640159,.1533697,.1273234,.1126765,.109404,.097186,.0857214,.09190489
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Arkansas","AR",.1728444,.1643924,.1486466,.1183209,.1484067,.1643758,.1377291,.1182884,.10958819
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"California","CA",.1132496,.1067754,.1018007,.0963604,.0948093,.0919174,.0843562,.0786182,.07621157
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Colorado","CO",.1802219,.1743343,.1539545,.1303708,.1124975,.1146718,.1112168,.1050996,.09218015
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Connecticut","CT",.1507608,.139301,.1203309,.1383882,.1319682,.1088988,.112844,.1104786,.11172903
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Delaware","DE",.1103907,.1135314,.1661555,.1614559,.1139306,.0783633,.0748837,.0664277,.06997851
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"District of Columbia","DC",.1759073,.1281981,.0833201,.1344729,.1579565,.1313206,.1478519,.1458551,.16773091
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Florida","FL",.1644291,.1534584,.1422924,.1390812,.1384786,.1292839,.1192445,.1153332,.11532442
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Georgia","GA",.173189,.1612929,.1610838,.1555402,.1463467,.1242526,.1068155,.101735,.09034766
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Hawaii","HI",.1326618,.1354897,.1285345,.119833,.1014192,.1267254,.1113496,.0902333,.10425454
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Idaho","ID",.1713734,.1423885,.1370825,.1417014,.1376666,.1223866,.0882383,.0904325,.11704422
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Illinois","IL",.1311355,.120637,.1123032,.102037,.1024785,.0973402,.0864791,.0825314,.0746404
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Indiana","IN",.1802942,.1625498,.1418244,.1317528,.1522266,.1580386,.1355646,.123188,.12760133
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Iowa","IA",.170504,.1824156,.1847365,.1477527,.1423008,.1449191,.1376492,.1532234,.14342044
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Kansas","KS",.1543137,.1445324,.117707,.1208946,.134618,.1258199,.1026328,.1076976,.10598418
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Kentucky","KY",.2220571,.2044405,.1976162,.1630838,.1715931,.172002,.1689562,.1667965,.16393562
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Louisiana","LA",.104437,.1582868,.139221,.1275717,.1369124,.1302278,.1081399,.1004847,.09861113
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Maine","ME",.1891088,.1331179,.1382277,.2051904,.234281,.1556217,.0966343,.11879,.16251446
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Maryland","MD",.1590267,.1525378,.1411118,.1285703,.136134,.1419586,.1257022,.1115205,.11283546
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Massachusetts","MA",.141751,.1258194,.1269248,.1213917,.1120909,.1003854,.1062161,.112208,.10653731
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Michigan","MI",.1581519,.136989,.1320337,.1357148,.1382999,.1200104,.1090459,.1132946,.12680091
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Minnesota","MN",.1524691,.1526623,.1482021,.1372684,.1346017,.1148415,.1075281,.1011832,.10015546
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Mississippi","MS",.1362487,.1566102,.1502206,.1460611,.1753197,.1764682,.124737,.0994567,.10227461
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Missouri","MO",.1906411,.1611081,.1742503,.1596334,.1406609,.1369716,.1368818,.1296032,.09318158
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Montana","MT",.0830954,.0393227,.0185547,.0236956,.0582068,.0966286,.1016712,.0996263,.09568773
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Nebraska","NE",.155829,.151675,.1555766,.1472715,.1289721,.1128445,.1340374,.1288309,.11799997
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Nevada","NV",.1335962,.1406168,.1475757,.1318829,.1097155,.1002904,.0929269,.0842502,.07408366
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"New Hampshire","NH",.1261107,.1015173,.0701507,.0763436,.0788203,.0642756,.1182127,.1082589,.08070175
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"New Jersey","NJ",.1259317,.1214086,.11848,.1246228,.12098,.11121,.1040218,.1066295,.09923909
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"New Mexico","NM",.1738838,.1520362,.1380074,.1478932,.1363286,.1311024,.1342546,.1215267,.10710337
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"New York","NY",.1130658,.1075702,.1056508,.1034339,.1029538,.1016786,.0994237,.0997151,.09560365
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"North Carolina","NC",.1975733,.1838759,.1664539,.1492477,.1481477,.1327793,.122078,.1186758,.10340495
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"North Dakota","ND",.1130737,-97,-97,.1905641,.1433194,.2808123,.386025,.2157491,.18709475
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Ohio","OH",.1630232,.1542613,.1612732,.147374,.1480789,.14496,.1285689,.1130125,.11109608
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Oklahoma","OK",.1501831,.1420862,.1275502,.1094166,.1361419,.1403238,.1294638,.1157378,.10904087
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Oregon","OR",.1777799,.1421607,.1310075,.1288366,.1284631,.121882,.1029692,.0971781,.09363885
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Pennsylvania","PA",.1539186,.1392382,.1333364,.1309072,.1325757,.1200994,.1209663,.128687,.1135835
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Rhode island","RI",.1041043,.1153234,.1044462,.0895339,.0848119,.1045654,.1204546,.1099464,.09028067
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"South Carolina","SC",.1861276,.1643294,.163298,.1540332,.1482269,.1461944,.1323177,.1140836,.09659825
