GROUPCODE,STATCODE,statid,statistics_label,STAT,ISSTATE,StateName,StateCode,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Alabama","AL",.46634,.4683548,.4832258,.4517324,.4437506,.4763452,.4698284,.479116,.46987531
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Alaska","AK",.8209185,.8057141,.834536,.835333,.7992765,.7627114,.7519533,.7453277,.73634899
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Arizona","AZ",.4542494,.4421417,.4371538,.4482551,.471901,.4809147,.4929328,.5039416,.50527155
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Arkansas","AR",.4312446,.4123106,.4669562,.4699723,.4257289,.4569176,.4639612,.4588066,.43486121
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"California","CA",.5352683,.5286712,.5297452,.5339796,.5388077,.5397091,.5449778,.5575019,.56123936
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Colorado","CO",.4937404,.4862039,.4716721,.4830392,.4922268,.4958828,.5190386,.5349525,.52556378
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Connecticut","CT",.6487855,.6438594,.6347839,.6022161,.6315086,.6566269,.6533656,.6590246,.65112954
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Delaware","DE",.5992767,.5711806,.4679183,.4713585,.5791159,.6001066,.5545705,.5300896,.50628591
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"District of Columbia","DC",.4124791,.5031198,.5627059,.5681788,.5214579,.4845589,.477731,.4968907,.49014565
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Florida","FL",.5746652,.5827502,.5932907,.6036826,.5978509,.6009802,.6200921,.6441171,.64668941
