GROUPCODE,STATCODE,statid,statistics_label,STAT,ISSTATE,StateName,StateCode,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Maryland","MD",.18623589,.19728394,.20970854,.21926561,.23064138,.23525457,.2403321,.25044629,.26077473,.27116746,.27650666,.28175977,.28862286,.29414287,.29867506,.30264884,.30990791
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Maine","ME",.05195628,.05950094,.06269669,.05813339,.05956409,.05926951,.06321935,.07060824,.06498704,.0622615,.07357299,.08064797,.07001887,.07086496,.0704829,.06711715,.07290936
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Michigan","MI",.10053226,.1030964,.10272126,.10229987,.10517506,.11019272,.11822692,.12265301,.12401073,.12558445,.1279157,.13144426,.13448812,.1330104,.12874699,.13582979,.13547632
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Minnesota","MN",.12841704,.1301793,.13324112,.14218485,.15112199,.15754943,.16271925,.16280873,.16758358,.18039165,.18182431,.18506171,.19264367,.19791104,.19290456,.19089018,.19101787
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Missouri","MO",.06104936,.05871855,.06311534,.06776964,.06669459,.07136762,.07183522,.0705886,.07228457,.07235101,.07900684,.08135519,.08027547,.08211251,.08021645,.0848786,.08190555
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Mississippi","MS",.02595001,.02457216,.02609149,.03255657,.03318603,.03489652,.03560082,.03578109,.03760362,.0399231,.04277262,.04474645,.04546776,.04717476,.04913169,.04861216,.04429584
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Montana","MT",.03201967,.03198148,.03864708,.04016798,.03632588,.03617818,.03530453,.02962634,.03315622,.03901665,.03376272,.03627097,.04563887,.03680992,.03546692,.05188418,.0524592
"Population","Share",2,"Share","Children of Immigrants, Share",1,"North Carolina","NC",.12285766,.13135673,.14359625,.15525641,.16290033,.16454467,.1656477,.17315488,.18055195,.18229721,.18358605,.18688866,.18936297,.19173026,.18847518,.19999747,.19809023
"Population","Share",2,"Share","Children of Immigrants, Share",1,"North Dakota","ND",.04667361,.03218101,.03488792,.04911263,.04022237,.04007547,.04703271,.04652328,.0594296,.07062269,.0643597,.06260455,.07748457,.0752238,.07282038,.11720062,.10517682
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Nebraska","NE",.11439884,.11431048,.12343691,.12984253,.13020648,.13147029,.1484061,.15465556,.14187406,.13671766,.1431596,.15927717,.162112,.16002998,.17374784,.1550426,.15772101
"Population","Share",2,"Share","Children of Immigrants, Share",1,"New Hampshire","NH",.09348322,.08867851,.08584397,.09607479,.1063132,.1081244,.10644716,.10802133,.10541551,.10543453,.10881029,.10933615,.11650439,.11738048,.1264828,.12857772,.11238042
"Population","Share",2,"Share","Children of Immigrants, Share",1,"New Jersey","NJ",.29922745,.3141062,.31920397,.32003093,.33100843,.34339771,.35112911,.36109903,.36399025,.3672033,.37803799,.39006841,.40390727,.40646237,.40090555,.4087078,.4093546
"Population","Share",2,"Share","Children of Immigrants, Share",1,"New Mexico","NM",.19213906,.20640729,.20349075,.2048618,.21317793,.21298215,.20890535,.21998043,.22312738,.21546294,.21874766,.20115511,.19335285,.19976184,.18342525,.18917298,.18482377
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Nevada","NV",.33867794,.36657888,.36950558,.36016008,.36319372,.37701586,.37800911,.37448549,.37761426,.37350646,.37355533,.37214574,.36267588,.36486894,.35365826,.34131137,.34159896
"Population","Share",2,"Share","Children of Immigrants, Share",1,"New York","NY",.32239062,.33068091,.33650595,.33629143,.33729196,.33859643,.34762299,.35627276,.35599953,.35977995,.36742496,.36744884,.36700499,.36645147,.36250088,.36636996,.36899665
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Ohio","OH",.05103756,.05281091,.05790255,.06332439,.06755365,.06724957,.06606554,.07038449,.07244623,.07284123,.07513013,.08079786,.08630579,.08889904,.08925761,.09498751,.09824546
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Oklahoma","OK",.09119433,.0967755,.10216229,.10778626,.11399102,.11709286,.11423716,.11426512,.11960206,.12971151,.13129385,.12208486,.12825269,.13629955,.12817457,.12519674,.12952475
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Oregon","OR",.19200742,.19878118,.20745258,.21035752,.21873111,.22542098,.22619185,.22949444,.23170735,.22224542,.21870968,.22796306,.23651838,.22950962,.21674544,.21994691,.21701565
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Pennsylvania","PA",.08259547,.08845588,.09582365,.09737541,.10005776,.10483556,.10712225,.11299644,.11739718,.11612563,.12148022,.1297895,.13476016,.13602263,.13700765,.14742342,.14705093
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Rhode island","RI",.23867871,.2505765,.25606984,.23738545,.23031297,.23936349,.23933935,.24653943,.25971508,.2565476,.26048535,.26688862,.26763517,.26587936,.29646239,.27980635,.28946504
"Population","Share",2,"Share","Children of Immigrants, Share",1,"South Carolina","SC",.06678832,.07394537,.0779972,.08539862,.09138559,.08894382,.09040372,.0928552,.09586813,.0981095,.10270844,.10509314,.10736953,.11585918,.1166354,.11550891,.11473861
"Population","Share",2,"Share","Children of Immigrants, Share",1,"South Dakota","SD",.03666986,.03634641,.04183765,.04630091,.04812195,.05097584,.04806469,.04069794,.05253974,.06132681,.0587449,.0569186,.05813569,.05940859,.07325061,.06617063,.06887718
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Tennessee","TN",.06926829,.07439041,.08411963,.08988393,.09368863,.09987958,.10074042,.10070971,.10599631,.11091605,.11649799,.12110538,.12046643,.12200048,.1148767,.1331024,.13180254
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Texas","TX",.3062934,.30953294,.31497478,.32435748,.33088261,.33507591,.33711639,.33450198,.33682355,.33982745,.33914399,.34255862,.34386435,.339165,.32660872,.33681899,.3318173
"Population","Share",2,"Share","Children of Immigrants, Share",1,"United States","US",.2177444,.2219179,.22615062,.23083399,.23483552,.23749822,.24067491,.24404705,.24508993,.24707568,.25064459,.25256407,.25364634,.25293684,.24838242,.25356978,.25322825
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Utah","UT",.14855599,.15933381,.16109198,.15656152,.15030079,.15963131,.16565566,.16114214,.16751952,.16793981,.16129743,.16418327,.16450305,.15562381,.14864716,.16250955,.16407292
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Virginia","VA",.16503663,.16557853,.17140315,.18009453,.19325307,.20355017,.20876837,.21335346,.2168792,.2221874,.22668156,.23411614,.2385661,.24254313,.23728074,.2400661,.23985009
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Vermont","VT",.03722082,.04997718,.06142749,.06166022,.06096428,.06290349,.05660794,.05777796,.06374358,.06139052,.06363414,.07550441,.07967568,.07261568,.07992622,.09110073,.07805727
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Washington","WA",.22319628,.23226441,.23602848,.24248318,.2567316,.26846045,.26799607,.27556372,.27240646,.27249175,.28411633,.28837165,.29306963,.29482585,.29532453,.31156272,.31089884
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Wisconsin","WI",.07591709,.08026247,.08890469,.09604886,.09822887,.09879208,.09722223,.10387498,.10470151,.10640355,.11336772,.11064747,.10908008,.11333707,.11815678,.11393363,.10983389
"Population","Share",2,"Share","Children of Immigrants, Share",1,"West Virginia","WV",.02116472,.01932845,.02104848,.01992913,.0194137,.02266153,.02181838,.02656547,.02730455,.02426486,.02570512,.02635393,.02872286,.02690762,.02634226,.033311,.03506457
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Wyoming","WY",.04873941,.04908784,.04489445,.0536243,.05639508,.05778338,.06843949,.08051556,.07850193,.0755276,.07869228,.08723379,.08382741,.07247546,.06696444,.07394331,.07352292
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Alaska","AK",19000,22000,20000,21000,21000,19000,20000,19000,19000,26000,27000,25000,25000,23000,24000,33000,28000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Alabama","AL",52000,55000,61000,71000,79000,78000,79000,76000,71000,80000,88000,91000,89000,82000,81000,90000,97000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Arkansas","AR",51000,56000,63000,68000,71000,74000,73000,75000,82000,81000,77000,77000,76000,74000,71000,82000,84000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Arizona","AZ",463000,499000,521000,526000,503000,461000,455000,467000,460000,450000,457000,468000,466000,461000,436000,414000,422000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"California","CA",4683000,4650000,4603000,4612000,4625000,4573000,4570000,4558000,4471000,4446000,4453000,4360000,4233000,4176000,4082000,4012000,3932000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Colorado","CO",232000,235000,251000,257000,257000,257000,261000,278000,281000,278000,283000,284000,286000,273000,250000,269000,266000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Connecticut","CT",155000,163000,170000,175000,182000,185000,182000,184000,185000,187000,195000,197000,203000,203000,198000,206000,209000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"District of Columbia","DC",18000,19000,22000,23000,22000,21000,24000,27000,29000,28000,27000,29000,30000,28000,30000,31000,32000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Delaware","DE",29000,30000,33000,35000,32000,32000,36000,37000,32000,35000,42000,44000,44000,46000,41000,52000,49000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Florida","FL",1197000,1212000,1196000,1226000,1249000,1242000,1272000,1291000,1291000,1330000,1368000,1401000,1424000,1408000,1411000,1490000,1485000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Georgia","GA",362000,389000,418000,453000,466000,464000,474000,480000,496000,512000,508000,519000,526000,516000,517000,526000,537000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Hawaii","HI",83000,74000,77000,78000,78000,90000,93000,88000,89000,89000,91000,92000,90000,90000,80000,82000,82000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Iowa","IA",47000,51000,56000,57000,63000,68000,64000,71000,79000,74000,73000,77000,81000,86000,83000,87000,88000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Idaho","ID",46000,51000,55000,57000,57000,57000,56000,58000,60000,56000,54000,54000,56000,55000,58000,60000,59000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Illinois","IL",750000,774000,778000,788000,790000,806000,811000,803000,788000,778000,772000,771000,778000,743000,711000,731000,715000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Indiana","IN",108000,118000,122000,132000,139000,142000,145000,147000,151000,155000,169000,179000,177000,176000,179000,183000,193000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Kansas","KS",78000,87000,87000,88000,93000,102000,108000,106000,109000,111000,113000,109000,106000,109000,100000,109000,107000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Kentucky","KY",40000,40000,46000,54000,60000,65000,70000,73000,72000,74000,77000,74000,79000,91000,89000,92000,89000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Louisiana","LA",47000,49000,54000,57000,60000,61000,63000,67000,71000,76000,81000,81000,80000,81000,77000,83000,79000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Massachusetts","MA",318000,318000,332000,345000,353000,357000,359000,376000,382000,385000,395000,393000,413000,424000,407000,434000,438000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Maryland","MD",256000,269000,283000,294000,311000,317000,323000,336000,351000,365000,372000,379000,387000,392000,398000,412000,419000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Maine","ME",14000,17000,18000,16000,16000,16000,17000,19000,17000,16000,19000,21000,18000,17000,17000,17000,18000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Michigan","MI",250000,254000,249000,243000,246000,255000,269000,276000,277000,278000,281000,286000,291000,286000,274000,292000,288000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Minnesota","MN",160000,164000,168000,179000,192000,202000,208000,208000,214000,231000,233000,238000,249000,257000,251000,249000,247000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Missouri","MO",86000,84000,89000,96000,95000,101000,101000,99000,101000,101000,110000,113000,111000,113000,110000,117000,112000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Mississippi","MS",20000,19000,20000,25000,25000,26000,27000,27000,28000,29000,31000,32000,32000,33000,34000,34000,30000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Montana","MT",7000,7000,9000,9000,8000,8000,8000,7000,7000,9000,8000,8000,10000,8000,8000,12000,12000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"North Carolina","NC",264000,287000,319000,350000,371000,376000,379000,395000,413000,417000,420000,429000,435000,440000,433000,460000,455000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"North Dakota","ND",7000,-97,-97,7000,6000,6000,7000,7000,10000,12000,11000,11000,13000,13000,13000,21000,19000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Nebraska","NE",50000,52000,56000,59000,59000,60000,69000,72000,66000,64000,67000,75000,77000,76000,82000,75000,75000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"New Hampshire","NH",28000,26000,25000,28000,30000,31000,29000,29000,28000,28000,28000,28000,30000,30000,32000,33000,28000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"New Jersey","NJ",636000,651000,654000,655000,680000,704000,714000,730000,734000,736000,752000,772000,793000,789000,772000,826000,821000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"New Mexico","NM",95000,103000,101000,104000,110000,110000,108000,112000,112000,107000,108000,98000,93000,95000,86000,89000,86000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Nevada","NV",212000,238000,246000,244000,245000,250000,251000,248000,250000,248000,251000,253000,249000,252000,247000,238000,237000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"New York","NY",1459000,1479000,1486000,1483000,1473000,1454000,1483000,1512000,1504000,1515000,1539000,1528000,1506000,1480000,1450000,1502000,1490000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Ohio","OH",141000,146000,159000,173000,183000,182000,176000,186000,191000,191000,196000,210000,224000,229000,229000,247000,253000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Oklahoma","OK",79000,87000,93000,98000,106000,109000,107000,108000,113000,124000,126000,117000,123000,130000,122000,120000,124000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Oregon","OR",163000,171000,180000,184000,190000,195000,195000,197000,199000,191000,189000,198000,206000,199000,186000,188000,183000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Pennsylvania","PA",231000,249000,266000,269000,278000,291000,294000,307000,317000,312000,325000,346000,357000,358000,360000,394000,389000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Rhode island","RI",58000,59000,59000,54000,52000,53000,52000,53000,55000,54000,55000,55000,55000,54000,61000,58000,60000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"South Carolina","SC",69000,77000,83000,91000,99000,96000,98000,100000,103000,106000,112000,116000,118000,128000,130000,129000,128000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"South Dakota","SD",7000,7000,8000,9000,10000,10000,10000,8000,11000,13000,12000,12000,12000,13000,16000,-97,15000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Tennessee","TN",98000,108000,123000,133000,140000,149000,150000,150000,158000,166000,174000,182000,182000,184000,174000,204000,202000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Texas","TX",1960000,2027000,2099000,2209000,2279000,2320000,2348000,2343000,2382000,2432000,2457000,2509000,2538000,2509000,2419000,2511000,2471000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"United States","US",15997000,16388000,16713000,17124000,17449000,17573000,17748000,17954000,18013000,18164000,18434000,18578000,18622000,18488000,18077000,18611000,18440000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Utah","UT",115000,128000,134000,134000,131000,140000,146000,144000,151000,153000,148000,152000,153000,145000,139000,153000,154000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Virginia","VA",298000,301000,314000,331000,357000,377000,387000,397000,405000,415000,423000,437000,445000,452000,439000,452000,449000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Vermont","VT",5000,7000,8000,8000,8000,8000,7000,7000,8000,7000,8000,9000,9000,8000,9000,11000,9000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Washington","WA",337000,357000,364000,378000,405000,424000,423000,437000,435000,438000,460000,472000,484000,490000,491000,521000,516000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Wisconsin","WI",100000,106000,117000,125000,130000,131000,128000,136000,136000,138000,146000,142000,139000,144000,149000,145000,138000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"West Virginia","WV",8000,8000,8000,8000,7000,9000,8000,10000,10000,9000,10000,10000,11000,10000,9000,12000,12000
"Population","TotalNum",1,"Population total","Total Number of Children of Immigrants",1,"Wyoming","WY",6000,6000,6000,7000,7000,8000,9000,11000,11000,10000,11000,12000,11000,10000,9000,-97,10000
"Population","Percent",3,"Percent of Total","Percent of Children of Immigrants",1,"Alaska","AK",.00118772,.00134245,.00119667,.00122635,.00120351,.0010812,.00112689,.00105826,.00105479,.0014314,.00146468,.00134568,.0013425,.00124405,.00132765,.00177305,.00151844
"Population","Percent",3,"Percent of Total","Percent of Children of Immigrants",1,"Alabama","AL",.00325061,.00335611,.00364985,.00414623,.00452748,.00443863,.00445121,.00423304,.0039416,.00440432,.00477379,.00489827,.00477929,.00443531,.00448083,.00483559,.0052603
"Population","Percent",3,"Percent of Total","Percent of Children of Immigrants",1,"Arkansas","AR",.0031881,.00341713,.00376952,.00397103,.004069,.00421101,.00411314,.00417734,.00455227,.00445937,.00417706,.00414469,.00408119,.0040026,.00392764,.00440576,.00455531
"Population","Percent",3,"Percent of Total","Percent of Children of Immigrants",1,"Arizona","AZ",.02894293,.03044911,.03117334,.03071712,.02882687,.02623343,.02563669,.02601092,.02553711,.02477428,.02479115,.02519109,.02502416,.02493509,.02411905,.02224371,.02288503
"Population","Percent",3,"Percent of Total","Percent of Children of Immigrants",1,"California","CA",.2927424,.28374422,.27541435,.26932961,.26505816,.26022875,.25749379,.25387099,.24820963,.24476987,.2415645,.23468618,.22731178,.22587624,.22581181,.21555986,.2132321
"Population","Percent",3,"Percent of Total","Percent of Children of Immigrants",1,"Colorado","CO",.01450272,.01433976,.01501825,.01500818,.01472864,.01462471,.01470588,.01548401,.01559984,.015305,.01535207,.0152869,.01535818,.01476633,.01382973,.01445304,.01442516
"Population","Percent",3,"Percent of Total","Percent of Children of Immigrants",1,"Connecticut","CT",.00968932,.0099463,.01017172,.01021957,.0104304,.01052751,.01025468,.01024841,.01027036,.01029509,.01057828,.01060394,.01090109,.01098009,.01095315,.01106813,.01133406
"Population","Percent",3,"Percent of Total","Percent of Children of Immigrants",1,"District of Columbia","DC",.00112521,.00115938,.00131634,.00134314,.00126082,.00119502,.00135227,.00150384,.00160995,.00154151,.00146468,.00156099,.001611,.0015145,.00165957,.00166559,.00173536
"Population","Percent",3,"Percent of Total","Percent of Children of Immigrants",1,"Delaware","DE",.00181284,.00183061,.00197451,.00204391,.00183392,.00182098,.0020284,.00206082,.00177649,.00192689,.0022784,.00236839,.0023628,.0024881,.00226808,.0027939,.00265727
"Population","Percent",3,"Percent of Total","Percent of Children of Immigrants",1,"Florida","FL",.07482653,.07395656,.07156106,.07159542,.07158003,.07067661,.07167005,.07190599,.07167046,.07322176,.0742107,.07541177,.07646869,.07615751,.07805499,.08005588,.08053146
"Population","Percent",3,"Percent of Total","Percent of Children of Immigrants",1,"Georgia","GA",.02262924,.02373688,.02501047,.0264541,.0267064,.02640414,.02670723,.02673499,.02753567,.02818762,.02755777,.02793627,.02824616,.02791,.02859988,.02826134,.02912148
"Population","Percent",3,"Percent of Total","Percent of Children of Immigrants",1,"Hawaii","HI",.00518847,.0045155,.00460719,.00455501,.00447017,.00512149,.00524003,.00490141,.00494088,.0048998,.00493653,.00495209,.00483299,.00486802,.00442551,.00440576,.00444685
"Population","Percent",3,"Percent of Total","Percent of Children of Immigrants",1,"Iowa","IA",.00293805,.00311203,.00335069,.00332866,.00361052,.00386957,.00360604,.00395455,.00438572,.00407399,.00396007,.00414469,.00434969,.00465167,.00459147,.0046744,.00477223
"Population","Percent",3,"Percent of Total","Percent of Children of Immigrants",1,"Idaho","ID",.00287554,.00311203,.00329085,.00332866,.00326666,.00324361,.00315529,.00323048,.00333093,.00308302,.00292937,.00290666,.0030072,.0029749,.0032085,.00322373,.00319957
"Population","Percent",3,"Percent of Total","Percent of Children of Immigrants",1,"Illinois","IL",.04688379,.04722968,.04655059,.04601729,.0452748,.04586582,.04569529,.04472541,.04374618,.04283198,.04187914,.0415007,.04177854,.04018823,.03933175,.03927574,.0387744
"Population","Percent",3,"Percent of Total","Percent of Children of Immigrants",1,"Indiana","IN",.00675127,.00720039,.00729971,.00770848,.00796607,.00808058,.00816994,.00818759,.00838283,.00853336,.00916784,.00963505,.00950489,.00951969,.00990209,.00983237,.01046638
"Population","Percent",3,"Percent of Total","Percent of Children of Immigrants",1,"Kansas","KS",.00487591,.00530876,.00520553,.00513899,.00532982,.00580436,.00608519,.00590398,.00605119,.00611099,.00612998,.00586715,.00569219,.00589572,.00553189,.00585644,.0058026
"Population","Percent",3,"Percent of Total","Percent of Children of Immigrants",1,"Kentucky","KY",.00250047,.00244081,.00275235,.00315347,.00343859,.00369886,.00394411,.00406595,.00399711,.00407399,.00417706,.00398321,.00424229,.00492211,.00492338,.00494305,.00482646
"Population","Percent",3,"Percent of Total","Percent of Children of Immigrants",1,"Louisiana","LA",.00293805,.00298999,.00323102,.00332866,.00343859,.00347123,.0035497,.00373176,.0039416,.0041841,.00439405,.00436,.00429599,.00438122,.00425956,.00445949,.00428416
