GROUPCODE,STATCODE,statid,statistics_label,STAT,ISSTATE,StateName,StateCode,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Alaska","AK",.1026939,.12069201,.11098214,.11590923,.11183354,.10336167,.10946081,.10020201,.1033139,.13863729,.14628907,.13369773,.1349757,.12884288,.13380596,.18522327,.15978627
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Alabama","AL",.04687864,.04879859,.05465815,.06333917,.0694619,.06872062,.07047713,.06785025,.06451014,.07196412,.07940921,.08271805,.08126435,.07578072,.07454116,.08061823,.08715809
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Arkansas","AR",.07467694,.08066368,.08974072,.09655104,.10044289,.10403465,.10312169,.10542794,.11591534,.11474963,.10938644,.10894674,.1074964,.10547628,.10220313,.11672744,.12043227
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Arizona","AZ",.29119164,.30427665,.30805582,.3044956,.29904833,.28297123,.28064439,.28880921,.2842257,.27757615,.28109527,.28686205,.28483793,.28137228,.26554561,.25638708,.26324329
"Population","Share",2,"Share","Children of Immigrants, Share",1,"California","CA",.48734084,.49073577,.49082518,.4911122,.49367386,.49258083,.49425983,.49550876,.48830354,.48711213,.48941126,.4807792,.46949902,.46759635,.4634186,.45803064,.45585051
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Colorado","CO",.19823286,.19906226,.20958725,.21121949,.20900457,.209573,.21242219,.22460763,.22575654,.22210206,.22454883,.22561318,.22638108,.21658725,.20087528,.2164553,.21737441
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Connecticut","CT",.19082153,.20051923,.20870255,.21664067,.22386682,.22904888,.22768369,.23293351,.23696826,.24369933,.25750569,.26473835,.27447906,.27745703,.27394983,.28317729,.28677204
"Population","Share",2,"Share","Children of Immigrants, Share",1,"District of Columbia","DC",.16043933,.16730811,.19808775,.20671329,.20248406,.20746073,.22426023,.24544141,.25679258,.24015139,.22453344,.23768018,.23650956,.21931896,.23677742,.25035208,.25902888
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Delaware","DE",.14299548,.14618473,.15932694,.16950397,.15704656,.15741682,.17653149,.17983229,.15691221,.1721244,.20761436,.21632616,.21568742,.22490375,.20057464,.24767224,.23294574
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Florida","FL",.29778063,.301581,.29771978,.3040306,.31018522,.31075174,.31834084,.32187593,.31967756,.32611805,.33178207,.33597609,.33812314,.33299187,.33313227,.34785885,.34634727
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Georgia","GA",.15103106,.15626252,.16462915,.17661007,.18354394,.18643078,.19052923,.19272101,.19939502,.20503935,.20284976,.20675258,.20965891,.20606674,.2063832,.20849022,.21358351
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Hawaii","HI",.27304307,.25437912,.27203402,.27013928,.26544654,.29680738,.30809981,.29096383,.28871235,.28750709,.29526719,.30041116,.29491425,.2987707,.27080894,.26971972,.27148196
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Iowa","IA",.06870098,.07247663,.07917555,.0799724,.08820367,.09388095,.08823075,.09794442,.10891561,.10188476,.10086171,.10658079,.11141404,.11809168,.11545307,.11883875,.12191988
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Idaho","ID",.12011011,.12736371,.1328463,.13685,.13563675,.13269398,.13102549,.13741423,.13876231,.12876813,.12542601,.12376212,.1253864,.12274713,.12828024,.12842065,.12664771
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Illinois","IL",.23192246,.24084382,.24370313,.24807259,.25092119,.25922862,.26369151,.26411018,.26248008,.26221466,.26289693,.26543969,.27077949,.26202309,.25503373,.26144934,.2595875
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Indiana","IN",.06787435,.07397737,.07684549,.08311496,.08682094,.08880112,.09122575,.09282991,.09547408,.09809972,.10740294,.11375294,.11268204,.11235834,.11466566,.11505378,.12223791
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Kansas","KS",.11452699,.12464085,.12475079,.12623072,.13034908,.14155805,.14928086,.14808089,.15107054,.15321296,.15803553,.15268001,.15031472,.15461892,.14360182,.15548374,.1548744
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Kentucky","KY",.04095358,.03988036,.04526338,.0534454,.05872034,.06361742,.06850892,.0715719,.07067279,.07336165,.0761795,.07311841,.07829992,.09100221,.0883406,.09066241,.088091
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Louisiana","LA",.04200696,.0452191,.04932971,.051161,.05333776,.05468209,.05675664,.06006144,.0641302,.0681154,.07261416,.07267392,.07226854,.07382086,.07154218,.0768337,.0739795
"Population","Share",2,"Share","Children of Immigrants, Share",1,"Massachusetts","MA",.21820511,.22004531,.23173481,.24078973,.24806274,.25289473,.25606811,.26969221,.27493799,.27776304,.28598997,.28608736,.30197981,.31248069,.30319175,.31896648,.32453734
