GROUPCODE,STATCODE,statid,statistics_label,STAT,ISSTATE,StateName,StateCode,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Alabama","AL",.46634001,.46835479,.48322576,.45173237,.44375056,.47634515,.46982837,.47911602
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Alaska","AK",.8209185,.80571413,.83453602,.83533305,.79927653,.76271141,.7519533,.74532771
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Arizona","AZ",.45424941,.44214168,.43715376,.44825509,.47190097,.48091465,.4929328,.5039416
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Arkansas","AR",.43124464,.41231057,.46695623,.46997225,.42572886,.45691758,.46396124,.45880663
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"California","CA",.53526831,.52867121,.52974522,.53397959,.53880769,.53970909,.54497778,.55750185
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Colorado","CO",.49374044,.48620394,.47167215,.4830392,.49222678,.49588278,.51903862,.53495246
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Connecticut","CT",.64878547,.64385945,.63478386,.60221606,.63150859,.65662694,.65336561,.6590246
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Delaware","DE",.59927672,.57118064,.46791834,.47135854,.57911587,.6001066,.5545705,.53008956
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"District of Columbia","DC",.41247907,.50311983,.56270587,.56817883,.52145785,.48455894,.47773102,.49689066
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Florida","FL",.57466519,.5827502,.59329069,.60368264,.59785086,.60098022,.62009209,.64411712
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Georgia","GA",.49061373,.48503554,.47017094,.46180743,.47461301,.51415557,.52088696,.50243837
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Hawaii","HI",.75090289,.74897629,.74590671,.7451331,.73278999,.72212934,.7376532,.73984867
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Idaho","ID",.56832874,.57457834,.56313044,.52521539,.49218577,.4323515,.45769984,.50568771
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Illinois","IL",.56358427,.56588417,.57094592,.55750513,.54091924,.55290926,.56895381,.57096672
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Indiana","IN",.52900457,.51119781,.50990206,.52835679,.50660181,.46793911,.5027051,.51106411
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Iowa","IA",.49463347,.52629089,.50628132,.51117343,.5570792,.55453396,.52388746,.53268725
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Kansas","KS",.57448232,.54632711,.53522748,.51538992,.46011287,.47569412,.502855,.50799996
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Kentucky","KY",.54896432,.50663114,.53129792,.51528084,.48412231,.51398402,.4877809,.49397996
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Louisiana","LA",.7353164,.65432781,.64763159,.62091875,.60648406,.60949963,.60298622,.61048937
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Maine","ME",.70085561,.71467775,.74445081,.64023179,.55685747,.67872077,.78199607,.75466436
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Maryland","MD",.61108786,.59510839,.59597164,.59705168,.58562779,.58053339,.58449543,.6029228
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Massachusetts","MA",.61702579,.63881558,.63943893,.63902009,.64265698,.67116791,.68240428,.66386217
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Michigan","MI",.64664876,.64995319,.67212766,.66272658,.63945311,.64705622,.65588504,.66031575
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Minnesota","MN",.61136359,.59648663,.60129994,.60167783,.56565303,.59097248,.64370596,.68701994
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Mississippi","MS",.66417116,.60852861,.56025279,.46173549,.44380832,.48630834,.48701662,.51958907
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Missouri","MO",.61130279,.61022884,.55407083,.55491978,.57360274,.56852597,.58875579,.61418492
"Citizenship","citCitPar",80,"Citizen children with citizen parents","Who are citizens with citizen parents",1,"Montana","MT",.83365887,.91157717,.96880746,.92076784,.81756371,.79404372,.8274852,.79271686
